string,log_prob,count
"fand(pairshape(d,fdiamond(),fsquare()),sametexture(d))",-8.030084094267561,33
"fdisj(istexture(obj_2(d),fcheckered()),istexture(obj_1(d),fdots()))",-8.030084094267561,33
"fdisj(istexture(obj_2(d),fdots()),istexture(obj_2(d),fcheckered()))",-8.030084094267561,33
"fand(sameshape(d),pairtexture(d,fcheckered(),fdots()))",-8.030084094267561,33
"fand(sameshape(d),fand(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fcheckered())))",-8.030084094267561,33
"fand(diffshape(d),pairtexture(d,fdots(),fstripes()))",-8.030084094267561,33
"fdisj(istexture(obj_1(d),fplain()),istexture(obj_1(d),fdots()))",-8.030084094267561,33
"fand(pairshape(d,fcircle(),ftriangle()),difftexture(d))",-8.030084094267561,33
"fdisj(isshape(obj_2(d),ftriangle()),isshape(obj_2(d),fcircle()))",-8.030084094267561,33
"fand(diffshape(d),pairtexture(d,fcheckered(),fdots()))",-8.030084094267561,33
"fand(diffshape(d),pairtexture(d,fcheckered(),fstripes()))",-8.030084094267561,33
"fdisj(isshape(obj_1(d),fcircle()),isshape(obj_1(d),fdiamond()))",-8.030084094267561,33
"fdisj(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fstripes()))",-8.030084094267561,33
"fdisj(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fsquare()))",-8.030084094267561,33
"fdisj(istexture(obj_1(d),fdots()),istexture(obj_2(d),fcheckered()))",-8.030084094267561,32
"fdisj(istexture(obj_1(d),fcheckered()),istexture(obj_2(d),fstripes()))",-8.030084094267561,32
"fand(fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fsquare())),difftexture(d))",-8.030084094267561,32
"fdisj(istexture(obj_1(d),fdots()),istexture(obj_2(d),fplain()))",-8.030084094267561,32
"fand(pairshape(d,ftriangle(),fsquare()),difftexture(d))",-8.030084094267561,32
"fdisj(isshape(obj_2(d),ftriangle()),isshape(obj_2(d),ftriangle()))",-8.030084094267561,32
