condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
med,31,11.730263766742496,5.0,0.4762083333333333,0.5500416666666667,100,11.667305757257964,11.793221776227028,5.0,5.0,0.46995390222397704,0.48246276444268954,0.5440871912751185,0.5559961420582148
med,32,11.74468634523619,5.0,0.47475,0.5566666666666666,100,11.68070188783278,11.808670802639599,5.0,5.0,0.4681104762063451,0.4813895237936549,0.5503004539446475,0.5630328793886857
med,33,11.766383479917387,5.0,0.46725,0.5591666666666666,100,11.701140536910259,11.831626422924515,5.0,5.0,0.4618353090782781,0.4726646909217219,0.5535026838401536,0.5648306494931796
med,34,11.828676471952344,5.0,0.4740833333333333,0.5630833333333333,100,11.761111002690576,11.896241941214111,5.0,5.0,0.46754218859231067,0.48062447807435593,0.5567734338284231,0.5693932328382434
med,35,11.85641760544518,5.0,0.4754583333333333,0.557875,100,11.788536307292622,11.92429890359774,5.0,5.0,0.4697188561152085,0.4811978105514581,0.552189772477647,0.563560227522353
med,36,11.894949740245988,5.0,0.46891666666666665,0.5659166666666667,100,11.825999882722074,11.9638995977699,5.0,5.0,0.4619092742177037,0.47592405911562957,0.5594482258933304,0.572385107440003
med,37,11.922691349137414,5.0,0.4734583333333333,0.5609583333333333,100,11.854469323091331,11.990913375183498,5.0,5.0,0.4671477559022238,0.47976891076444284,0.555316212472714,0.5666004541939527
med,38,11.943454339473544,5.0,0.47004166666666664,0.5636249999999999,100,11.876038755740664,12.010869923206423,5.0,5.0,0.4640317848420835,0.47605154849124975,0.5580814104346226,0.5691685895653773
med,39,11.976872883566681,5.0,0.47075,0.5715,100,11.911489050013012,12.04225671712035,5.0,5.0,0.46463864831511176,0.47686135168488825,0.5654298606157965,0.5775701393842035
simple,0,0.0,0.26,0.499375,0.49770833333333336,100,0.0,0.0,0.17359457555374563,0.3464054244462544,0.4933834401043497,0.5053665598956503,0.491782346518884,0.5036343201477828
simple,1,0.0,0.58,0.496875,0.502375,100,0.0,0.0,0.42196747042447114,0.7380325295755288,0.49060005097476,0.50314994902524,0.49653618955785095,0.5082138104421491
simple,2,0.0,1.0,0.49579166666666663,0.5052916666666667,100,0.0,0.0,0.7736786944776668,1.2263213055223332,0.4892795112814702,0.5023038220518631,0.49901083704510163,0.5115724962882318
simple,3,0.0,1.61,0.49904166666666666,0.5049583333333333,100,0.0,0.0,1.3206295820442615,1.8993704179557387,0.4925560900529533,0.50552724328038,0.4984625435827544,0.5114541230839122
simple,4,0.0,2.25,0.49766666666666665,0.5117499999999999,100,0.0,0.0,1.9072475640885505,2.5927524359114495,0.4915241539924541,0.5038091793408792,0.5064201292911282,0.5170798707088716
simple,5,1.611809565095846,2.8,0.500125,0.5077916666666666,100,0.8248771943191003,2.3987419358725917,2.4465187273687468,3.153481272631253,0.4938285299046071,0.506421470095393,0.5014300535441353,0.514153279789198
simple,6,2.6479728569431757,3.29,0.5074583333333333,0.506625,100,1.6935662267425222,3.6023794871438293,2.9329199020336802,3.64708009796632,0.5008549534659169,0.5140617132007498,0.5001662366950993,0.5130837633049007
simple,7,4.144653167389318,3.72,0.50225,0.5118333333333333,100,3.056060500436537,5.2332458343421,3.3631536199008054,4.0768463800991945,0.49554725987820714,0.5089527401217928,0.5043739567364341,0.5192927099302324
simple,8,6.447238260383384,3.99,0.5012083333333334,0.513375,100,5.32148161619148,7.572994904575287,3.6551271937531564,4.3248728062468444,0.49529609531940555,0.5071205713472612,0.5072555899807019,0.5194944100192982
simple,9,7.71366006153012,4.18,0.49979166666666663,0.5200416666666667,100,6.647263985431848,8.780056137628392,3.870560425767792,4.4894395742322075,0.4932363296668002,0.5063470036665331,0.5143875705406493,0.5256957627926842
simple,10,8.40443558942834,4.32,0.4950416666666667,0.5197083333333333,100,7.3975793186431185,9.411291860213561,4.034701287855142,4.605298712144859,0.4893365664148502,0.5007467669184833,0.5145330446357577,0.524883622030909
simple,11,8.864952608027153,4.43,0.4915416666666667,0.5237916666666667,100,7.9105459778265,9.819359238227806,4.166809778819097,4.6931902211809025,0.4854985172700665,0.49758481606326693,0.5178566830242175,0.5297266503091158
simple,12,9.095211117326558,4.52,0.4974583333333333,0.518125,100,8.171476200485273,10.018946034167843,4.268534168837147,4.771465831162852,0.491519264729028,0.5033974019376385,0.5118715599254047,0.5243784400745952
simple,13,9.555728135925373,4.61,0.49491666666666667,0.5190833333333333,100,8.703829988184948,10.407626283665797,4.382149334746274,4.837850665253726,0.4896731935820808,0.5001601397512525,0.5133446954204312,0.5248219712462355
simple,14,10.016245154524185,4.66,0.493625,0.5241250000000001,100,9.253542128323563,10.778948180724807,4.447436069272173,4.872563930727828,0.4878836919963659,0.4993663080036341,0.5186003519874859,0.5296496480125142
simple,15,10.253435135629191,4.71,0.49666666666666665,0.5260833333333333,100,9.543222204409924,10.963648066848458,4.51640035478787,4.90359964521213,0.49026983936314605,0.5030634939701872,0.5201650307568165,0.5320016359098502
simple,16,10.375496862034497,4.79,0.4922916666666666,0.5299583333333334,100,9.69394858503335,11.057045139035644,4.634155690226146,4.945844309773854,0.4851349703780376,0.49944836295529565,0.5238033577493987,0.5361133089172682
simple,17,10.525283475712195,4.83,0.48983333333333334,0.5315,100,9.872322477400342,11.178244474024048,4.690555729244746,4.969444270755254,0.48313471532084623,0.49653195134582045,0.524872154986921,0.538127845013079
simple,18,10.776339400278408,4.87,0.4930833333333334,0.5263333333333333,100,10.192518161239347,11.360160639317469,4.749676322052776,4.990323677947225,0.4860158236875959,0.5001508429790709,0.5201759666632572,0.5324907000034095
simple,19,10.974649316445309,4.9,0.49695833333333334,0.5322916666666666,100,10.425594631492103,11.523704001398514,4.786839347238834,5.013160652761167,0.4906507457307997,0.503265920935867,0.5264990524719567,0.5380842808613765
simple,20,11.253432128183922,4.91,0.48283333333333334,0.5414166666666667,100,10.796782646396915,11.71008160997093,4.8017644245269615,5.018235575473039,0.47622690885072216,0.4894397578159445,0.5348814569192906,0.5479518764140427
simple,21,11.281161015256327,4.94,0.48454166666666665,0.5399583333333333,100,10.823118353681602,11.739203676831051,4.840253541618783,5.0397464583812175,0.477658553946924,0.49142477938640927,0.5337506084767032,0.5461660581899634
simple,22,11.546080883383743,4.95,0.4849583333333333,0.5405416666666667,100,11.214554995033204,11.877606771734282,4.869379427143707,5.030620572856293,0.4788735895297799,0.4910430771368868,0.5344150390490284,0.546668294284305
simple,23,11.573807270593639,4.96,0.4865,0.5433333333333333,100,11.241310642022233,11.906303899165044,4.8816,5.0384,0.48048515999076447,0.4925148400092355,0.5375855225462601,0.5490811441204065
simple,24,11.70973194061014,4.97,0.4872083333333333,0.5417083333333333,100,11.468235794542528,11.951228086677753,4.9112,5.0287999999999995,0.48170940156532366,0.49270726510134294,0.5355821015828887,0.547834565083778
simple,25,11.758252243274333,4.98,0.48070833333333335,0.5454583333333334,100,11.51577946685146,12.000725019697205,4.9408,5.0192000000000005,0.4743615632280909,0.4870551034385758,0.53956001322447,0.5513566534421968
simple,26,11.785979130496726,4.99,0.4815416666666667,0.543875,100,11.543118754577021,12.02883950641643,4.970400000000001,5.0096,0.47543001184466477,0.48765332148866863,0.5378218258528362,0.5499281741471638
simple,27,11.813704517806613,4.99,0.4807916666666667,0.5507916666666667,100,11.570579703323157,12.05682933229007,4.970400000000001,5.0096,0.4743216482292705,0.48726168510406287,0.5441664903481523,0.557416842985181
simple,28,11.827567961455307,4.99,0.48241666666666666,0.5486666666666666,100,11.584356922350148,12.070779000560465,4.970400000000001,5.0096,0.47695051247577447,0.48788282085755885,0.5428502540358214,0.5544830792975118
simple,29,11.845485556172584,5.0,0.472375,0.5552916666666667,100,11.601853744511702,12.089117367833465,5.0,5.0,0.4658482125595413,0.4789017874404587,0.5491157554710195,0.5614675778623139
simple,30,12.017243915711136,5.0,0.4814583333333334,0.5514583333333334,100,11.95232885037357,12.082158981048702,5.0,5.0,0.47446831063178757,0.4884483560348792,0.545129931755812,0.5577867349108547
simple,31,12.031109859222338,5.0,0.47391666666666665,0.5583333333333333,100,11.967574189936919,12.094645528507758,5.0,5.0,0.46781895517712796,0.48001437815620535,0.5522851193609368,0.5643815473057299
simple,32,12.055962258948,5.0,0.475375,0.5587083333333333,100,11.99387587562412,12.11804864227188,5.0,5.0,0.46871089102304064,0.48203910897695934,0.5525792431165456,0.5648374235501209
simple,33,12.069825702546698,5.0,0.4789583333333334,0.5567916666666667,100,12.009527305047317,12.130124100046078,5.0,5.0,0.4733201302228224,0.4845965364438444,0.5513204925092252,0.5622628408241082
simple,34,12.077247575931493,5.0,0.47454166666666664,0.565625,100,12.017861334469426,12.136633817393559,5.0,5.0,0.4682640127414559,0.4808193205918774,0.5592499308997826,0.5720000691002175
simple,35,12.102097975707151,5.0,0.4755833333333333,0.5629166666666666,100,12.045038648220238,12.159157303194064,5.0,5.0,0.4692766376147621,0.4818900290519045,0.5572366494661267,0.5685966838672065
simple,36,12.148919454646448,5.0,0.47712499999999997,0.5640416666666667,100,12.095931315386325,12.20190759390657,5.0,5.0,0.4712399438358674,0.4830100561641325,0.5575812764087991,0.5705020569245343
simple,37,12.19745618142275,5.0,0.47279166666666667,0.5670416666666667,100,12.14739635890499,12.24751600394051,5.0,5.0,0.46575737338200823,0.4798259599513251,0.5607799153818712,0.5733034179514621
simple,38,12.220608424120737,5.0,0.469875,0.5663750000000001,100,12.169918857921992,12.271297990319482,5.0,5.0,0.4637869798714773,0.47596302012852265,0.5599181561921885,0.5728318438078116
simple,39,12.257438582523118,5.0,0.47450000000000003,0.5710833333333334,100,12.209843605938378,12.305033559107859,5.0,5.0,0.46842923914375334,0.4805707608562467,0.5652381055274002,0.5769285611392666
