condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
med,17,7.0670292144275795,3.05,0.09805555555555556,0.8077777777777778,60,5.992618589745169,8.141439839109989,2.5671390112431145,3.532860988756885,0.07997113007773232,0.1161399810333788,0.7889301932714223,0.8266253622841333
med,18,7.116113036678411,3.1166666666666667,0.10604166666666666,0.806875,60,6.055444761709779,8.176781311647042,2.6413561546195172,3.591977178713816,0.0841011992834848,0.1279821340498485,0.7875307961169229,0.8262192038830771
med,19,7.3972096722394065,3.2,0.10430555555555557,0.8108333333333333,60,6.352984999972978,8.441434344505835,2.727647742286298,3.6723522577137024,0.08361347965373761,0.12499763145737353,0.7923708001423884,0.8292958665242782
med,20,7.584935270742995,3.25,0.10277777777777779,0.80625,60,6.571828410844816,8.598042130641174,2.7780499643413594,3.7219500356586406,0.08241825007505633,0.12313730548049924,0.7893826812371577,0.8231173187628423
med,21,7.714464637481327,3.3333333333333335,0.10409722222222223,0.8153472222222222,60,6.702718472776823,8.72621080218583,2.8705745545054246,3.7960921121612423,0.08168182555573315,0.1265126188887113,0.796766397232249,0.8339280472121955
med,22,7.895542243132973,3.3833333333333333,0.09180555555555556,0.8197222222222222,60,6.896178189021134,8.894906297244813,2.919578974365794,3.8470876923008728,0.072306005861483,0.11130510524962811,0.8030048338349002,0.8364396106095443
med,23,7.988430594845827,3.433333333333333,0.10194444444444443,0.820138888888889,60,6.9953602707219185,8.981500918969736,2.9712786085027894,3.895388058163877,0.08144860235900235,0.12244028652988652,0.8014471884945279,0.83883058928325
med,24,8.242927486320552,3.466666666666667,0.11131944444444446,0.8224305555555556,60,7.257633249446944,9.228221723194158,3.0138642524004124,3.919469080932921,0.09028858868216144,0.13235030020672747,0.8062244955981843,0.8386366155129268
med,25,8.298993946763293,3.5166666666666666,0.11618055555555555,0.8325694444444445,60,7.319327911746294,9.278659981780292,3.0662070227781957,3.9671263105551375,0.09476971394932021,0.1375913971617909,0.8132909312303457,0.8518479576585433
med,26,8.356997898668656,3.566666666666667,0.09152777777777779,0.8540277777777778,60,7.37767187935282,9.336323917984492,3.1189254513906173,4.0144078819427165,0.07397465825085052,0.10908089730470506,0.8373192949405007,0.8707362606150549
med,27,8.38947993288881,3.6333333333333333,0.1186111111111111,0.8368055555555556,60,7.414203236233129,9.36475662954449,3.1817308215763287,4.084935845090338,0.09741306229787884,0.13980915992434334,0.8193663637551664,0.8542447473559448
med,28,8.699758418816193,3.683333333333333,0.11986111111111111,0.8416666666666667,60,7.7602311549705565,9.63928568266183,3.240159886101383,4.1265067805652835,0.1009198957719967,0.13880232645022553,0.8226979852231342,0.8606353481101991
med,29,8.88998472620646,3.75,0.11881944444444444,0.8410416666666667,60,7.9618534150717055,9.818116037341214,3.316398214401075,4.183601785598925,0.09956439990292007,0.1380744889859688,0.8230540136050585,0.8590293197282749
med,30,8.947964454662733,3.816666666666667,0.11701388888888889,0.8484027777777778,60,8.022910160218379,9.873018749107088,3.3935360243236166,4.239797309009717,0.09732939407628545,0.13669838370149232,0.8296658500929703,0.8671397054625853
med,31,9.194176274537972,3.8333333333333335,0.10611111111111111,0.8488888888888889,60,8.31554500754407,10.072807541531873,3.4136146579347484,4.253052008731919,0.08787418497223648,0.12434803724998575,0.8330487729530622,0.8647290048247156
med,32,9.203997455318078,3.8666666666666667,0.10993055555555556,0.8529861111111111,60,8.329505743737007,10.078489166899148,3.4487617855726733,4.28457154776066,0.09299346825847232,0.1268676428526388,0.8369248533713483,0.869047368850874
med,33,9.334161947366685,3.9,0.11180555555555555,0.8606944444444444,60,8.48262517044073,10.185698724292639,3.4867081850631623,4.3132918149368376,0.09406963429941738,0.12954147681169373,0.8430573768160025,0.8783315120728864
med,34,9.378019122479124,3.95,0.10875,0.8593055555555555,60,8.521942734697728,10.23409551026052,3.5535269332535098,4.346473066746491,0.09143273656161718,0.12606726343838282,0.8402275696985332,0.8783835414125779
med,35,9.437871571774716,3.966666666666667,0.12236111111111111,0.8634722222222222,60,8.605133940696621,10.27060920285281,3.5714501082328587,4.361883225100475,0.10573741227655453,0.1389848099456677,0.8446838075597672,0.8822606368846772
med,36,9.439244222321163,3.9833333333333334,0.12458333333333332,0.8540277777777778,60,8.607125536177042,10.271362908465283,3.5866778333243428,4.379988833342324,0.10362012508350789,0.14554654158315877,0.8343034357124509,0.8737521198431047
med,37,9.589395424124673,4.0,0.10763888888888888,0.8776388888888889,60,8.784980487748207,10.393810360501138,3.601956195806922,4.398043804193078,0.09081220220038239,0.12446557557739538,0.8594303946657283,0.8958473831120494
med,38,9.639938448730236,4.033333333333333,0.11020833333333332,0.875625,60,8.836856390337816,10.443020507122656,3.6464419511346784,4.4202247155319885,0.09488381874361317,0.1255328479230535,0.8575464529297464,0.8937035470702536
med,39,9.697196299800607,4.033333333333333,0.11812500000000001,0.8695138888888889,60,8.914974440141965,10.47941815945925,3.6464419511346784,4.4202247155319885,0.10091126485242971,0.1353387351475703,0.8506462978058205,0.8883814799719574
simple,0,1.6666666482042153e-10,0.23333333333333334,0.29881944444444447,0.6302083333333334,60,-1.5999999822760454e-10,4.933333278684476e-10,0.1254084099967249,0.3412582566699418,0.22994456196565666,0.3676943269232323,0.5641404311677349,0.6962762354989318
simple,1,0.11512925486636896,0.6,0.20777777777777778,0.7119444444444445,60,-0.012924571230220755,0.24318308096295868,0.4372768459660486,0.7627231540339514,0.16501416593053803,0.25054138962501754,0.6606693511484895,0.7632195377403995
