condition,seed,action,log_cum_rewards,highest_levels,epi_probs,recover_rate
simple,5,35,12.899299822890315,5.0,0.2,1.0
simple,5,36,12.899299822890315,5.0,0.2,1.0
simple,5,37,12.899299822890315,5.0,0.2,1.0
simple,5,38,12.899299822890315,5.0,0.2,1.0
simple,5,39,12.899299822890315,5.0,0.2,1.0
simple,6,0,-18.420680743952367,0.0,0.08333333333333333,0.7166666666666667
simple,6,1,-18.420680743952367,0.0,0.6,0.2
simple,6,2,-18.420680743952367,1.0,0.3,0.6
simple,6,3,-18.420680743952367,1.0,0.18333333333333332,0.7166666666666667
simple,6,4,2.302585093994046,1.0,0.11666666666666667,0.7833333333333333
simple,6,5,2.302585093994046,1.0,0.15,0.65
simple,6,6,2.302585093994046,1.0,0.2,0.6
simple,6,7,2.302585093994046,1.0,0.05,0.85
simple,6,8,2.302585093994046,2.0,0.06666666666666667,0.8666666666666667
simple,6,9,2.302585093994046,3.0,0.2,1.0
simple,6,10,2.302585093994046,4.0,0.2,1.0
simple,6,11,2.302585093994046,5.0,0.2,1.0
simple,6,12,11.513025459970661,5.0,0.2,1.0
simple,6,13,11.513025459970661,5.0,0.2,1.0
simple,6,14,11.513025459970661,5.0,0.2,1.0
simple,6,15,11.513025459970661,5.0,0.2,1.0
simple,6,16,11.513025459970661,5.0,0.2,1.0
simple,6,17,11.513025459970661,5.0,0.2,1.0
simple,6,18,12.206122644280265,5.0,0.2,1.0
simple,6,19,12.206122644280265,5.0,0.2,1.0
simple,6,20,12.206122644280265,5.0,0.2,1.0
simple,6,21,12.206122644280265,5.0,0.2,1.0
simple,6,22,12.206122644280265,5.0,0.2,1.0
simple,6,23,12.206122644280265,5.0,0.2,1.0
simple,6,24,12.611571086416161,5.0,0.2,1.0
simple,6,25,12.611571086416161,5.0,0.2,1.0
simple,6,26,12.611604418082914,5.0,0.2,1.0
simple,6,27,12.611604418082914,5.0,0.2,1.0
simple,6,28,12.611604418082914,5.0,0.2,1.0
simple,6,29,12.611604418082914,5.0,0.2,1.0
simple,6,30,12.611604418082914,5.0,0.2,1.0
simple,6,31,12.611604418082914,5.0,0.2,1.0
simple,6,32,12.899269824840186,5.0,0.2,1.0
simple,6,33,12.899272324712067,5.0,0.2,1.0
simple,6,34,12.899274824577699,5.0,0.2,1.0
simple,6,35,12.899277324437083,5.0,0.2,1.0
simple,6,36,12.899279824290216,5.0,0.2,1.0
simple,6,37,12.899279824290216,5.0,0.2,1.0
simple,6,38,12.899279824290216,5.0,0.2,1.0
simple,6,39,12.899279824290216,5.0,0.2,1.0
simple,7,0,-18.420680743952367,0.0,0.8,0.0
simple,7,1,-18.420680743952367,1.0,0.18333333333333332,0.6833333333333333
simple,7,2,2.302585093994046,1.0,0.020833333333333332,0.7875
simple,7,3,2.302585093994046,1.0,0.2,0.6
simple,7,4,2.302585093994046,1.0,0.05,0.85
simple,7,5,2.302585093994046,2.0,0.2,1.0
simple,7,6,2.302585093994046,3.0,0.2,1.0
simple,7,7,6.917705609845206,3.0,0.09583333333333334,0.7458333333333333
simple,7,8,6.917705609845206,3.0,0.43333333333333335,0.5666666666666667
simple,7,9,6.917705609845206,3.0,0.2,1.0
simple,7,10,6.917705609845206,3.0,0.25,0.65
simple,7,11,6.917705609845206,3.0,0.2,1.0
simple,7,12,7.605890001058096,3.0,0.2,1.0
simple,7,13,7.605890001058096,3.0,0.2,1.0
simple,7,14,7.605890001058096,3.0,0.2,1.0
simple,7,15,7.605890001058096,3.0,0.2,1.0
simple,7,16,7.605890001058096,4.0,0.2,1.0
simple,7,17,7.605890001058096,5.0,0.2,1.0
simple,7,18,11.532826126676662,5.0,0.2,1.0
simple,7,19,11.532826126676662,5.0,0.2,1.0
simple,7,20,11.532826126676662,5.0,0.2,1.0
simple,7,21,11.532826126676662,5.0,0.2,1.0
simple,7,22,11.532826126676662,5.0,0.2,1.0
simple,7,23,11.532826126676662,5.0,0.2,1.0
simple,7,24,12.216072480108556,5.0,0.2,1.0
simple,7,25,12.216072480108556,5.0,0.2,1.0
simple,7,26,12.216072480108556,5.0,0.2,1.0
simple,7,27,12.216072480108556,5.0,0.2,1.0
